idx,date,odometr,diff,state,driverId
,2026-04-07T04:00:33.109Z,737991,,OH,20141
,2026-04-07T04:01:33.114Z,737992,1,OH,20141
,2026-04-07T04:02:36.105Z,737993,1,OH,20141
,2026-04-07T04:03:36.111Z,737994,1,OH,20141
,2026-04-07T04:05:39.116Z,737996,2,OH,20141
,2026-04-07T04:06:39.119Z,737997,1,OH,20141
,2026-04-07T04:07:42.110Z,737999,2,OH,20141
,2026-04-07T04:08:45.119Z,738000,1,OH,20141
,2026-04-07T04:09:48.110Z,738001,1,OH,20141
,2026-04-07T04:10:48.117Z,738002,1,OH,20141
,2026-04-07T04:11:51.116Z,738003,1,OH,20141
,2026-04-07T04:12:51.120Z,738004,1,OH,20141
,2026-04-07T04:13:54.113Z,738005,1,OH,20141
,2026-04-07T04:14:54.116Z,738006,1,OH,20141
,2026-04-07T04:15:57.122Z,738007,1,OH,20141
,2026-04-07T04:16:57.124Z,738008,1,OH,20141
,2026-04-07T04:18:00.122Z,738010,2,OH,20141
,2026-04-07T04:19:03.110Z,738011,1,OH,20141
,2026-04-07T04:20:03.118Z,738012,1,OH,20141
,2026-04-07T04:21:06.106Z,738013,1,OH,20141
,2026-04-07T04:23:12.102Z,738015,2,OH,20141
,2026-04-07T04:24:15.116Z,738016,1,OH,20141
,2026-04-07T04:25:18.110Z,738018,2,OH,20141
,2026-04-07T04:26:21.112Z,738019,1,OH,20141
,2026-04-07T04:27:21.116Z,738020,1,OH,20141
,2026-04-07T04:28:24.108Z,738021,1,OH,20141
,2026-04-07T04:29:24.112Z,738022,1,OH,20141
,2026-04-07T04:30:27.110Z,738023,1,OH,20141
,2026-04-07T04:31:30.105Z,738024,1,OH,20141
,2026-04-07T04:32:33.108Z,738025,1,OH,20141
,2026-04-07T04:33:33.114Z,738026,1,OH,20141
,2026-04-07T04:34:36.115Z,738027,1,OH,20141
,2026-04-07T04:35:39.103Z,738028,1,OH,20141
,2026-04-07T04:36:39.108Z,738029,1,OH,20141
,2026-04-07T04:37:42.112Z,738030,1,OH,20141
,2026-04-07T04:38:45.114Z,738031,1,OH,20141
,2026-04-07T04:39:48.112Z,738032,1,OH,20141
,2026-04-07T04:40:48.104Z,738033,1,OH,20141
,2026-04-07T04:45:00.108Z,738038,5,OH,20141
,2026-04-07T04:46:03.105Z,738039,1,OH,20141
,2026-04-07T04:47:03.112Z,738040,1,OH,20141
,2026-04-07T04:48:06.107Z,738041,1,OH,20141
,2026-04-07T04:49:06.112Z,738042,1,OH,20141
,2026-04-07T04:51:12.106Z,738044,2,OH,20141
,2026-04-07T04:52:15.103Z,738046,2,OH,20141
,2026-04-07T04:53:18.101Z,738047,1,OH,20141
,2026-04-07T04:54:21.107Z,738048,1,OH,20141
,2026-04-07T04:55:21.113Z,738049,1,OH,20141
,2026-04-07T04:56:24.105Z,738050,1,OH,20141
,2026-04-07T04:57:28.109Z,738050,0,OH,20141
,2026-04-07T04:58:29.110Z,738051,1,OH,20141
,2026-04-07T05:18:06.113Z,738051,0,OH,20141
,2026-04-07T05:19:07.111Z,738052,1,OH,20141
,2026-04-07T05:20:07.124Z,738053,1,OH,20141
,2026-04-07T05:21:10.116Z,738054,1,IN,20141
,2026-04-07T05:22:13.118Z,738055,1,IN,20141
,2026-04-07T05:23:16.113Z,738056,1,IN,20141
,2026-04-07T05:24:23.112Z,738057,1,IN,20141
,2026-04-07T05:25:24.112Z,738058,1,IN,20141
,2026-04-07T05:26:24.115Z,738059,1,IN,20141
,2026-04-07T05:27:27.115Z,738060,1,IN,20141
,2026-04-07T05:28:30.113Z,738061,1,IN,20141
,2026-04-07T05:29:33.129Z,738062,1,IN,20141
,2026-04-07T05:30:36.115Z,738063,1,IN,20141
,2026-04-07T05:31:39.118Z,738064,1,IN,20141
,2026-04-07T05:32:42.121Z,738065,1,IN,20141
,2026-04-07T05:34:48.111Z,738068,3,IN,20141
,2026-04-07T05:35:51.110Z,738069,1,IN,20141
,2026-04-07T05:36:54.113Z,738070,1,IN,20141
,2026-04-07T05:37:57.101Z,738071,1,IN,20141
,2026-04-07T05:38:57.114Z,738072,1,IN,20141
,2026-04-07T05:40:00.105Z,738073,1,IN,20141
